Carrier,station,OTP_15,OTP_WX&CTA,BTP_0,BTP_5,ATD_0,ATD_5,GTP_0,GTP_5,PAX
N3,CUN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
N3,MEX,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,53.25
N3,SAL,88.89,88.89,44.44,66.67,88.89,100.0,77.78,88.89,88.07
N3,SAP,100.0,100.0,0.0,100.0,50.0,50.0,50.0,50.0,100.0
Q6,GUA,40.0,60.0,50.0,80.0,30.0,40.0,16.67,16.67,32.8
Q6,LAX,0.0,33.33,0.0,0.0,33.33,33.33,33.33,33.33,0.0
Q6,MEX,100.0,100.0,50.0,50.0,75.0,75.0,100.0,100.0,100.0
Q6,SAL,25.0,25.0,50.0,50.0,50.0,50.0,33.33,33.33,29.03
Q6,SJO,75.0,75.0,66.67,91.67,33.33,33.33,83.33,91.67,75.79
Y4,BJX,93.1,93.1,48.28,72.41,75.86,82.76,37.04,55.56,94.83
Y4,CUN,90.22,96.74,82.61,93.48,73.91,79.35,38.75,57.5,91.17
Y4,GDL,84.02,88.17,55.03,75.15,71.6,79.29,38.22,56.05,83.38
Y4,MEX,90.0,92.14,73.57,84.29,65.71,72.14,34.85,59.85,90.13
Y4,MTY,87.1,93.55,61.29,90.32,67.74,70.97,37.04,51.85,86.63
Y4,TIJ,81.82,87.27,52.73,72.12,69.09,72.73,44.81,72.08,81.48
N3,system,91.3,91.3,60.87,78.26,69.57,82.61,57.14,66.67,92.88
Q6,system,58.97,66.67,51.28,69.23,46.15,48.72,61.29,64.52,59.49
Y4,system,87.14,91.43,62.63,80.24,72.88,78.47,40.41,61.11,86.82
N3,system,91.3,91.3,60.87,78.26,69.57,82.61,57.14,66.67,92.88
Q6,system,58.97,66.67,51.28,69.23,46.15,48.72,61.29,64.52,59.49
Y4,system,87.14,91.43,62.63,80.24,72.88,78.47,40.41,61.11,86.82
ALL,general,86.26,90.57,62.2,79.82,71.89,77.53,41.44,61.33,86.11
