Carrier,station,OTP_15,OTP_WX&CTA,BTP_0,BTP_5,ATD_0,ATD_5,GTP_0,GTP_5,PAX
N3,CUN,90.48,90.48,57.14,71.43,95.24,95.24,83.33,88.89,91.49
N3,MEX,100.0,100.0,82.35,94.12,82.35,88.24,50.0,75.0,100.0
N3,SAL,91.46,92.96,68.84,80.4,83.92,87.94,48.45,63.92,89.52
N3,SAP,88.46,88.46,76.92,88.46,76.92,80.77,69.23,76.92,84.39
Q6,GUA,79.26,88.15,72.59,86.67,55.56,61.48,33.68,58.95,78.13
Q6,LAX,69.05,76.19,16.67,42.86,66.67,73.81,54.76,83.33,68.1
Q6,MEX,83.02,90.57,50.94,69.81,77.36,81.13,73.08,90.38,83.0
Q6,SAL,86.21,91.38,53.45,70.69,72.41,84.48,64.1,74.36,84.51
Q6,SJO,81.22,87.85,58.01,81.77,64.64,71.82,58.29,72.0,79.77
Y4,BJX,83.44,86.3,61.52,84.57,66.67,72.8,45.0,65.68,82.42
Y4,CUN,84.57,88.18,63.27,80.27,73.53,78.62,39.6,60.85,83.53
Y4,GDL,78.96,83.98,65.29,81.4,62.49,69.33,42.98,63.95,78.04
Y4,MEX,78.88,88.75,73.5,82.87,59.81,66.02,46.63,63.04,78.4
Y4,MTY,83.9,88.35,75.16,87.47,65.89,72.67,35.31,55.8,82.16
Y4,TIJ,80.25,86.78,73.07,89.06,56.73,64.75,35.36,63.41,80.23
N3,system,92.67,93.78,70.67,84.0,84.67,89.11,46.09,60.68,91.46
Q6,system,80.58,87.23,56.14,76.17,66.19,72.3,53.15,72.02,79.03
Y4,system,82.41,87.66,67.32,83.62,66.29,72.74,40.98,60.53,81.6
N3,system,92.67,93.78,70.67,84.0,84.67,89.11,46.09,60.68,91.46
Q6,system,80.58,87.23,56.14,76.17,66.19,72.3,53.15,72.02,79.03
Y4,system,82.41,87.66,67.32,83.62,66.29,72.74,40.98,60.53,81.6
ALL,general,82.64,87.82,67.02,83.36,66.81,73.19,41.54,60.93,81.71
